issn,eissn,journal_name,jif_2024,jif_quartile
17595002,17595010,Nature Reviews Cardiology,44.2,Q1
0959535X,17561833,BMJ-British Medical Journal,42.7,Q1
00928674,10974172,CELL,42.5,Q1
0732183X,15277755,JOURNAL OF CLINICAL ONCOLOGY,41.9,Q1
22138587,22138595,Lancet Diabetes & Endocrinology,41.8,Q1
10870156,15461696,NATURE BIOTECHNOLOGY,41.7,Q1
25201131,25201131,Nature Electronics,40.9,Q1
17595029,17595037,Nature Reviews Endocrinology,40.0,Q1
00796425,18732208,PROGRESS IN MATERIALS SCIENCE,40.0,Q1
17595061,1759507X,Nature Reviews Nephrology,39.8,Q1
03060012,14604744,CHEMICAL SOCIETY REVIEWS,39.0,Q1
00097322,15244539,CIRCULATION,38.6,Q1
14761122,14764660,NATURE MATERIALS,38.5,Q1
87551209,19449208,REVIEWS OF GEOPHYSICS,37.3,Q1
03601285,1873216X,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,37.0,Q1
20972431,26671417,eScience,36.6,Q1
23116706,21505551,Nano-Micro Letters,36.3,Q1
25208489,25208136,Electrochemical Energy Reviews,36.3,Q1
14702045,14745488,LANCET ONCOLOGY,35.9,Q1
0195668X,15229645,EUROPEAN HEART JOURNAL,35.6,Q1
25424351,25424351,Joule,35.4,Q1
17483387,17483395,Nature Nanotechnology,34.9,Q1
15534006,15534014,Annual Review of Pathology-Mechanisms of Disease,34.5,Q1
21598274,21598290,Cancer Discovery,33.3,Q1
07320582,15453278,Annual Review of Immunology,33.3,Q1
27705986,2770596X,iMeta,33.2,Q1
17594758,17594766,Nature Reviews Neurology,33.1,Q1
01688278,16000641,JOURNAL OF HEPATOLOGY,33.0,Q1
17494885,17494893,Nature Photonics,32.9,Q1
22132600,,Lancet Respiratory Medicine,32.8,Q1
17594790,17594804,Nature Reviews Rheumatology,32.7,Q1
00664146,15454282,Annual Review of Astronomy and Astrophysics,32.5,Q1
15487091,15487105,NATURE METHODS,32.1,Q1
20971710,26628643,eLight,32.1,Q1
27674401,2767441X,Interdisciplinary Materials,31.6,Q1
23270608,23270616,Annual Review of Organizational Psychology and Organizational Behavior,31.1,Q1
14733099,14744457,LANCET INFECTIOUS DISEASES,31.0,Q1
15504131,19327420,Cell Metabolism,30.9,Q1
17545692,17545706,Energy & Environmental Science,30.8,Q1
19475454,19475462,Annual Review of Condensed Matter Physics,30.7,Q1
00664189,15454479,Annual Review of Fluid Mechanics,30.2,Q1
03701573,18736270,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,29.5,Q1
00664308,15452085,Annual Review of Psychology,29.4,Q1
10614036,15461718,NATURE GENETICS,29.0,Q1
00319333,15221210,Physiological Reviews,28.7,Q1
03600300,15577341,ACM COMPUTING SURVEYS,28.0,Q1
15292908,15292916,NATURE IMMUNOLOGY,27.6,Q1
23673648,16144961,Living Reviews in Solar Physics,27.6,Q1
24709476,24709476,Science Robotics,27.5,Q1
23989629,23989629,Nature Sustainability,27.1,Q1
1758678X,17586798,Nature Climate Change,27.1,Q1
02684012,18734707,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,27.0,Q1
17590876,17590884,Wiley Interdisciplinary Reviews-Computational Molecular Science,27.0,Q1
09359648,15214095,ADVANCED MATERIALS,26.8,Q1
13876473,18729630,NEW ASTRONOMY REVIEWS,26.8,Q1
0927796X,1879212X,MATERIALS SCIENCE & ENGINEERING R-REPORTS,26.8,Q1
1471003X,14710048,NATURE REVIEWS NEUROSCIENCE,26.7,Q1
2157846X,2157846X,Nature Biomedical Engineering,26.6,Q1
15435008,15452123,Annual Review of Plant Biology,26.5,Q1
09354956,14320754,ASTRONOMY AND ASTROPHYSICS REVIEW,26.5,Q1
10747613,10974180,Immunity,26.3,Q1
00796700,18731619,PROGRESS IN POLYMER SCIENCE,26.1,Q1
16146832,16146840,Advanced Energy Materials,26.0,Q1
00189219,15582256,PROCEEDINGS OF THE IEEE,25.9,Q1
10010602,17487838,CELL RESEARCH,25.9,Q1
00175749,14683288,GUT,25.8,Q1
26666758,26666758,Innovation,25.7,Q1
19358237,19358245,Foundations and Trends in Machine Learning,25.4,Q1
24682667,24682667,Lancet Public Health,25.2,Q1
03022838,18737560,EUROPEAN UROLOGY,25.2,Q1
00165085,15280012,Gastroenterology,25.1,Q1
22150374,,Lancet Psychiatry,24.8,Q1
15602745,18789129,FUNGAL DIVERSITY,24.8,Q1
16742052,17529867,Molecular Plant,24.1,Q1
25897780,25897780,EnergyChem,23.8,Q1
19438206,,Advances in Optics and Photonics,23.8,Q1
00108545,18733840,COORDINATION CHEMISTRY REVIEWS,23.5,Q1
20955545,20477538,Light-Science & Applications,23.4,Q1
21686106,21686114,JAMA Internal Medicine,23.3,Q1
00064971,15280020,BLOOD,23.1,Q1
20957467,20549369,Military Medical Research,22.9,Q1
27668509,27662098,Exploration,22.5,Q1
20964579,20973993,Opto-Electronic Advances,22.4,Q1
07351097,15583597,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,22.3,Q1
00664219,1545326X,Annual Review of Medicine,22.1,Q1
13697021,18734103,Materials Today,22.0,Q1
0163769X,19457189,ENDOCRINE REVIEWS,22.0,Q1
25220128,25220136,Advanced Composites and Hybrid Materials,21.8,Q1
13687646,15322084,DRUG RESISTANCE UPDATES,21.7,Q1
26318644,26317990,International Journal of Extreme Manufacturing,21.3,Q1
21686149,21686157,JAMA Neurology,21.3,Q1
27668479,26924552,SusMat,21.3,Q1
25247921,2524793X,Advanced Fiber Materials,21.3,Q1
03424642,14321238,INTENSIVE CARE MEDICINE,21.2,Q1
20959273,20959281,Science Bulletin,21.1,Q1
09263373,18733883,Applied Catalysis B-Environment and Energy,21.1,Q1
09031936,13993003,EUROPEAN RESPIRATORY JOURNAL,21.0,Q1
15560864,15561380,Journal of Thoracic Oncology,20.8,Q1
13601385,18784372,TRENDS IN PLANT SCIENCE,20.8,Q1
15265161,15360075,AMERICAN JOURNAL OF BIOETHICS,20.8,Q1
00344885,13616633,REPORTS ON PROGRESS IN PHYSICS,20.7,Q1
01637525,15452093,Annual Review of Public Health,20.7,Q1
00034967,14682060,ANNALS OF THE RHEUMATIC DISEASES,20.6,Q1
00664154,15454509,Annual Review of Biochemistry,20.5,Q1
16103653,16103661,Environmental Chemistry Letters,20.4,Q1
19345909,18759777,Cell Stem Cell,20.4,Q1
17554330,17554349,Nature Chemistry,20.2,Q1
24058297,24058289,Energy Storage Materials,20.2,Q1
23742437,23742445,JAMA Oncology,20.1,Q1
10976256,15461726,NATURE NEUROSCIENCE,20.0,Q1
01656147,18733735,TRENDS IN PHARMACOLOGICAL SCIENCES,19.9,Q1
00332909,19391455,PSYCHOLOGICAL BULLETIN,19.8,Q1
16727681,20420226,Cellular & Molecular Immunology,19.8,Q1
24519294,24519294,Chem,19.6,Q1
20585276,20585276,Nature Microbiology,19.4,Q1
1073449X,15354970,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,19.4,Q1
00018686,18733727,ADVANCES IN COLLOID AND INTERFACE SCIENCE,19.3,Q1
08938512,10986618,CLINICAL MICROBIOLOGY REVIEWS,19.3,Q1
23299266,23299274,IEEE-CAA Journal of Automatica Sinica,19.2,Q1
14657392,14764679,NATURE CELL BIOLOGY,19.1,Q1
00664278,15451585,Annual Review of Physiology,19.1,Q1
1616301X,16163028,ADVANCED FUNCTIONAL MATERIALS,19.0,Q1
19411405,19410611,Annual Review of Marine Science,18.9,Q1
08906955,18792170,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,18.8,Q1
19313128,19346069,Cell Host & Microbe,18.7,Q1
01628828,19393539,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,18.6,Q1
17452473,17452481,Nature Physics,18.4,Q1
20960433,20960662,Computational Visual Media,18.3,Q1
23808195,23808195,ACS Energy Letters,18.2,Q1
09628924,18793088,TRENDS IN CELL BIOLOGY,18.1,Q1
21686203,21686211,JAMA Pediatrics,18.0,Q1
2214109X,2214109X,Lancet Global Health,18.0,Q1
20966482,25899651,Nano Materials Science,17.9,Q1
01466410,18732224,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,17.9,Q1
02539837,18722067,Chinese Journal of Catalysis,17.7,Q1
00014842,15204898,ACCOUNTS OF CHEMICAL RESEARCH,17.7,Q1
23523026,,Lancet Haematology,17.7,Q1
15291006,15396053,Psychological Science in the Public Interest,17.6,Q1
0169409X,18728294,ADVANCED DRUG DELIVERY REVIEWS,17.6,Q1
25902393,25902385,Matter,17.5,Q1
24058033,24058025,Trends in Cancer,17.5,Q1
00333190,14230348,PSYCHOTHERAPY AND PSYCHOSOMATICS,17.4,Q1
01695347,18728383,TRENDS IN ECOLOGY & EVOLUTION,17.3,Q1
00316997,15210081,PHARMACOLOGICAL REVIEWS,17.3,Q1
01492195,1545861X,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,17.3,Q1
13646613,1879307X,TRENDS IN COGNITIVE SCIENCES,17.2,Q1
07338716,15580008,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,17.2,Q1
01660616,18729797,STUDIES IN MYCOLOGY,17.1,Q1
2168622X,21686238,JAMA Psychiatry,17.1,Q1
20955138,2053714X,National Science Review,17.1,Q1
22112855,22113282,Nano Energy,17.1,Q1
25901168,25901168,eTransportation,17.0,Q1
22872728,2287285X,Clinical and Molecular Hepatology,16.9,Q1
00664170,15454487,Annual Review of Entomology,16.7,Q1
23659440,23659440,International Journal of Educational Technology in Higher Education,16.7,Q1
01495992,19355548,DIABETES CARE,16.6,Q1
22264108,22278508,Journal of Advanced Ceramics,16.6,Q1
10972765,10974164,Molecular Cell,16.6,Q1
00085472,15387445,CANCER RESEARCH,16.6,Q1
15485943,15485951,Annual Review of Clinical Psychology,16.5,Q1
19416520,19416067,Academy of Management Annals,16.5,Q1
24732397,21686831,IEEE Geoscience and Remote Sensing Magazine,16.4,Q1
26659913,26659913,Lancet Rheumatology,16.4,Q1
20972512,27731537,Green Energy and Intelligent Transportation,16.4,Q1
15401405,15401413,Journal of the National Comprehensive Cancer Network,16.4,Q1
24709468,24709468,Science Immunology,16.3,Q1
13640321,18790690,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,16.3,Q1
01689525,13624555,TRENDS IN GENETICS,16.3,Q1
03063674,14730480,BRITISH JOURNAL OF SPORTS MEDICINE,16.2,Q1
00097330,15244571,CIRCULATION RESEARCH,16.2,Q1
03760421,18731724,PROGRESS IN AEROSPACE SCIENCES,16.2,Q1
13554786,14602369,HUMAN REPRODUCTION UPDATE,16.1,Q1
17520894,17520908,Nature Geoscience,16.1,Q1
00036900,23790407,Applied Mechanics Reviews,16.1,Q1
17542189,17502799,Nature Protocols,16.0,Q1
19360851,1936086X,ACS Nano,16.0,Q1
15435938,15452050,Annual Review of Environment and Resources,16.0,Q1
23973374,23973374,Nature Human Behaviour,15.9,Q1
20971133,26927640,Energy Material Advances,15.9,Q1
02709139,15273350,HEPATOLOGY,15.8,Q1
1044579X,10963650,SEMINARS IN CANCER BIOLOGY,15.7,Q1
09066713,16000757,PERIODONTOLOGY 2000,15.7,Q1
21603308,21603308,Physical Review X,15.7,Q1
00027863,15205126,Journal of the American Chemical Society,15.6,Q1
27517438,27517446,BMEMat,15.5,Q1
09506608,17432804,INTERNATIONAL MATERIALS REVIEWS,15.5,Q1
15662535,18726305,Information Fusion,15.5,Q1
23524642,23524642,Lancet Child & Adolescent Health,15.5,Q1
25307614,2444569X,Journal of Innovation & Knowledge,15.5,Q1
19357516,19357516,Statistics Surveys,15.4,Q1
09242244,18793053,TRENDS IN FOOD SCIENCE & TECHNOLOGY,15.4,Q1
13509047,14765403,CELL DEATH AND DIFFERENTIATION,15.4,Q1
25903330,25903322,One Earth,15.3,Q1
1936878X,18767591,JACC-Cardiovascular Imaging,15.2,Q1
20479158,20479158,Translational Neurodegeneration,15.2,Q1
00034819,15393704,ANNALS OF INTERNAL MEDICINE,15.2,Q1
00338419,,RADIOLOGY,15.2,Q1
23986352,23986352,npj Digital Medicine,15.1,Q1
01662236,1878108X,TRENDS IN NEUROSCIENCES,15.1,Q1
20777000,20777019,Mycosphere,15.1,Q1
08966273,10974199,Neuron,15.0,Q1
20954700,20956231,Bone Research,15.0,Q1
21686254,21686262,JAMA Surgery,14.9,Q1
20954956,20954956,Journal of Energy Chemistry,14.9,Q1
01637827,18732194,PROGRESS IN LIPID RESEARCH,14.9,Q1
01677799,18793096,TRENDS IN BIOTECHNOLOGY,14.9,Q1
0966842X,18784380,TRENDS IN MICROBIOLOGY,14.9,Q1
26895269,26895277,International Journal of Transgender Health,14.8,Q1
10463976,15590097,ENDOCRINE PATHOLOGY,14.7,Q1
13509462,18731635,PROGRESS IN RETINAL AND EYE RESEARCH,14.7,Q1
0002953X,15357228,AMERICAN JOURNAL OF PSYCHIATRY,14.7,Q1
22113835,22113843,Acta Pharmaceutica Sinica B,14.6,Q1
19466234,19466242,Science Translational Medicine,14.6,Q1
26667568,26667568,Lancet Healthy Longevity,14.6,Q1
17594812,17594820,Nature Reviews Urology,14.6,Q1
20962797,24680257,Green Energy & Environment,14.6,Q1
27724247,27724247,Communications in Transportation Research,14.5,Q1
2397334X,2397334X,Nature Ecology & Evolution,14.5,Q1
00126667,11791950,DRUGS,14.4,Q1
10050302,19411162,Journal of Materials Science & Technology,14.3,Q1
15548627,15548635,Autophagy,14.3,Q1
26664984,26664984,Environmental Science and Ecotechnology,14.3,Q1
15710645,18731457,Physics of Life Reviews,14.3,Q1
23973366,23973366,Nature Astronomy,14.3,Q1
23798858,23798904,IEEE Transactions on Intelligent Vehicles,14.3,Q1
23263601,23263598,Qualitative Psychology,14.3,Q1
02786125,18786642,JOURNAL OF MANUFACTURING SYSTEMS,14.2,Q1
01409883,18736181,Energy Economics,14.2,Q1
13598368,18791069,COMPOSITES PART B-ENGINEERING,14.2,Q1
23806583,23806591,JAMA Cardiology,14.1,Q1
15414337,15414337,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,14.1,Q1
03637425,19303807,ACADEMY OF MANAGEMENT REVIEW,13.9,Q1
02692821,15737462,ARTIFICIAL INTELLIGENCE REVIEW,13.9,Q1
14714906,14714981,TRENDS IN IMMUNOLOGY,13.9,Q1
14714914,1471499X,TRENDS IN MOLECULAR MEDICINE,13.8,Q1
00018732,14606976,ADVANCES IN PHYSICS,13.8,Q1
22139567,22139567,Journal of Magnesium and Alloys,13.8,Q1
26667924,26667924,Advances in Applied Energy,13.8,Q1
1936122X,19361238,Annual Review of Biophysics,13.7,Q1
10577149,19410042,IEEE TRANSACTIONS ON IMAGE PROCESSING,13.7,Q1
0140525X,14691825,BEHAVIORAL AND BRAIN SCIENCES,13.7,Q1
19324553,19410484,IEEE Journal of Selected Topics in Signal Processing,13.7,Q1
20952686,22126066,International Journal of Mining Science and Technology,13.7,Q1
15524450,15524469,Nature Chemical Biology,13.7,Q1
2055026X,20550278,Nature Plants,13.6,Q1
28326237,28326245,Interdisciplinary Medicine,13.6,Q1
00219738,15588238,JOURNAL OF CLINICAL INVESTIGATION,13.6,Q1
25247972,25247867,Biochar,13.5,Q1
10006818,,ACTA PHYSICO-CHIMICA SINICA,13.5,Q1
08876924,14765551,LEUKEMIA,13.4,Q1
13590286,18790348,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,13.4,Q1
01999885,15454312,Annual Review of Nutrition,13.4,Q1
17485908,17485908,Implementation Science,13.4,Q1
22141588,22141588,Trends in Environmental Analytical Chemistry,13.4,Q1
15228517,15235866,NEURO-ONCOLOGY,13.4,Q1
25152459,25152467,Advances in Methods and Practices in Psychological Science,13.4,Q1
00401625,18735509,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,13.3,Q1
00086363,17553245,CARDIOVASCULAR RESEARCH,13.3,Q1
18387640,18387640,Theranostics,13.3,Q1
09644733,10990836,Business Strategy and the Environment,13.3,Q1
26386100,26386100,Radiology-Artificial Intelligence,13.2,Q1
0147006X,15454126,Annual Review of Neuroscience,13.2,Q1
13858947,18733212,Chemical Engineering Journal,13.2,Q1
10643389,15476537,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,13.2,Q1
00088846,18733948,CEMENT AND CONCRETE RESEARCH,13.1,Q1
03051048,13624962,NUCLEIC ACIDS RESEARCH,13.1,Q1
09696989,18731384,Journal of Retailing and Consumer Services,13.1,Q1
09589465,1873393X,CEMENT & CONCRETE COMPOSITES,13.1,Q1
21555435,21555435,ACS Catalysis,13.1,Q1
13895567,18732739,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,13.1,Q1
03621642,15454304,Annual Review of Pharmacology and Toxicology,13.1,Q1
20972415,23699698,Journal of Bioresources and Bioproducts,13.0,Q1
26667762,26667762,Lancet Regional Health-Europe,13.0,Q1
20901232,20901224,Journal of Advanced Research,13.0,Q1
23523018,23523018,Lancet HIV,13.0,Q1
10534822,18737889,HUMAN RESOURCE MANAGEMENT REVIEW,13.0,Q1
00846597,15454495,Annual Review of Earth and Planetary Sciences,13.0,Q1
12263613,20926413,EXPERIMENTAL AND MOLECULAR MEDICINE,12.9,Q1
15540669,15540677,Foundations and Trends in Information Retrieval,12.9,Q1
01429612,18785905,BIOMATERIALS,12.9,Q1
1674800X,16748018,Protein & Cell,12.8,Q1
19475438,19475446,Annual Review of Chemical and Biomolecular Engineering,12.8,Q1
0013726X,14388812,ENDOSCOPY,12.8,Q1
27668525,2688819X,SmartMat,12.8,Q1
07496419,18792154,INTERNATIONAL JOURNAL OF PLASTICITY,12.8,Q1
26660873,26660873,JACC: CardioOncology,12.8,Q1
20492618,20492618,Microbiome,12.7,Q1
15740137,18767745,Computer Science Review,12.7,Q1
00335533,15314650,QUARTERLY JOURNAL OF ECONOMICS,12.7,Q1
00852538,15231755,KIDNEY INTERNATIONAL,12.6,Q1
22136657,22136665,Analytic Methods in Accident Research,12.6,Q1
10432760,18793061,TRENDS IN ENDOCRINOLOGY AND METABOLISM,12.6,Q1
01637258,1879016X,PHARMACOLOGY & THERAPEUTICS,12.5,Q1
0160791X,18793274,TECHNOLOGY IN SOCIETY,12.5,Q1
23752548,23752548,Science Advances,12.5,Q1
00796727,18731627,PROGRESS IN QUANTUM ELECTRONICS,12.5,Q1
01448617,18791344,Carbohydrate Polymers,12.5,Q1
07349750,18731899,BIOTECHNOLOGY ADVANCES,12.5,Q1
27888614,27313948,Carbon Neutrality,12.5,Q1
19411413,19411421,Annual Review of Food Science and Technology,12.4,Q1
20972113,25897217,Artificial Intelligence in Agriculture,12.4,Q1
15681637,18729649,AGEING RESEARCH REVIEWS,12.4,Q1
0268005X,18737137,FOOD HYDROCOLLOIDS,12.4,Q1
00431354,18792448,WATER RESEARCH,12.4,Q1
02615177,18793193,Tourism Management,12.4,Q1
01686445,15746976,FEMS MICROBIOLOGY REVIEWS,12.3,Q1
16742818,20493169,International Journal of Oral Science,12.2,Q1
00010782,15577317,COMMUNICATIONS OF THE ACM,12.2,Q1
09242716,18728235,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.2,Q1
02727358,18737811,CLINICAL PSYCHOLOGY REVIEW,12.2,Q1
10217770,14230127,JOURNAL OF BIOMEDICAL SCIENCE,12.1,Q1
11343060,18861784,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,12.1,Q1
16136810,16136829,Small,12.1,Q1
22106707,22106715,Sustainable Cities and Society,12.0,Q1
1089778X,19410026,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,12.0,Q1
15423565,15427714,Clinical Gastroenterology and Hepatology,12.0,Q1
13541013,13652486,GLOBAL CHANGE BIOLOGY,12.0,Q1
19373333,19411189,IEEE Reviews in Biomedical Engineering,12.0,Q1
15250016,15250024,MOLECULAR THERAPY,12.0,Q1
25425048,25425048,Advanced Industrial and Engineering Polymer Research,12.0,Q1
01659936,18793142,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,12.0,Q1
01054538,13989995,ALLERGY,12.0,Q1
0304405X,,JOURNAL OF FINANCIAL ECONOMICS,12.0,Q1
27693333,27693325,Carbon Neutralization,12.0,Q1
01634453,15322742,JOURNAL OF INFECTION,11.9,Q1
18180876,18180876,Asian Journal of Pharmaceutical Sciences,11.9,Q1
00260495,15328600,METABOLISM-CLINICAL AND EXPERIMENTAL,11.9,Q1
10636706,19410034,IEEE TRANSACTIONS ON FUZZY SYSTEMS,11.9,Q1
22132317,22132317,Redox Biology,11.9,Q1
00664286,15452107,Annual Review of Phytopathology,11.9,Q1
22928782,22928782,Biofuel Research Journal-BRJ,11.9,Q1
27552608,27552500,Industrial Chemistry & Materials,11.9,Q1
15583724,15583716,Polymer Reviews,11.9,Q1
23672617,23670983,Protection and Control of Modern Power Systems,11.9,Q1
03542025,23350164,Facta Universitatis-Series Mechanical Engineering,11.8,Q1
01909622,10976787,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,11.8,Q1
26666340,26666340,Med,11.8,Q1
22131779,22131787,JACC-Heart Failure,11.8,Q1
24680133,24680133,Journal of Ocean Engineering and Science,11.8,Q1
13596101,18790305,CYTOKINE & GROWTH FACTOR REVIEWS,11.8,Q1
09638687,18731198,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,11.8,Q1
13618415,13618423,MEDICAL IMAGE ANALYSIS,11.8,Q1
00068950,14602156,BRAIN,11.7,Q1
14647931,1469185X,BIOLOGICAL REVIEWS,11.7,Q1
20418205,20418213,Astrophysical Journal Letters,11.7,Q1
19424787,19424795,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,11.7,Q1
0066426X,15451593,Annual Review of Physical Chemistry,11.7,Q1
00028282,19447981,AMERICAN ECONOMIC REVIEW,11.6,Q1
18663508,18663516,Earth System Science Data,11.6,Q1
20958099,20960026,Engineering,11.6,Q1
20445385,20445385,Blood Cancer Journal,11.6,Q1
10404651,1532298X,PLANT CELL,11.6,Q1
20407122,20407130,Journal of Research in Interactive Marketing,11.6,Q1
25903462,25903462,Plant Communications,11.6,Q1
00086223,18733891,CARBON,11.6,Q1
19319401,19319401,Applied Physics Reviews,11.6,Q1
26671093,26671093,Chem Catalysis,11.6,Q1
27511871,27511871,Smart Medicine,11.6,Q1
2467964X,2452414X,Journal of Industrial Information Integration,11.6,Q1
01986325,10981128,MEDICINAL RESEARCH REVIEWS,11.6,Q1
26433230,26433249,Blood Cancer Discovery,11.5,Q1
15361284,15580687,IEEE WIRELESS COMMUNICATIONS,11.5,Q1
01683659,18734995,JOURNAL OF CONTROLLED RELEASE,11.5,Q1
09265805,18727891,AUTOMATION IN CONSTRUCTION,11.5,Q1
00344257,18790704,REMOTE SENSING OF ENVIRONMENT,11.4,Q1
19368798,18767605,JACC-Cardiovascular Interventions,11.4,Q1
00461520,15326985,EDUCATIONAL PSYCHOLOGIST,11.4,Q1
19411383,19411391,Annual Review of Economics,11.4,Q1
10810706,15308995,Annual Review of Cell and Developmental Biology,11.4,Q1
07365845,18792537,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,11.4,Q1
13620347,1468960X,Evidence-Based Mental Health,11.4,Q1
20597037,20597037,npj Clean Water,11.4,Q1
1543592X,15452069,Annual Review of Ecology Evolution and Systematics,11.4,Q1
10800549,15590267,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,11.3,Q1
17535123,17535131,Reviews in Aquaculture,11.3,Q1
0013936X,15205851,ENVIRONMENTAL SCIENCE & TECHNOLOGY,11.3,Q1
09624929,14740508,ACTA NUMERICA,11.3,Q1
03043894,18733336,JOURNAL OF HAZARDOUS MATERIALS,11.3,Q1
26890186,26890186,JAMA Health Forum,11.3,Q1
08203946,14882329,CANADIAN MEDICAL ASSOCIATION JOURNAL,11.3,Q1
1556603X,15566048,IEEE Computational Intelligence Magazine,11.2,Q1
26618028,26618036,Tungsten,11.2,Q1
00916749,10976825,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,11.2,Q1
1756994X,1756994X,Genome Medicine,11.2,Q1
01959255,18736432,Environmental Impact Assessment Review,11.2,Q1
15525260,15525279,Alzheimers & Dementia,11.1,Q1
10518215,15582205,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,11.1,Q1
22148604,22147810,Additive Manufacturing,11.1,Q1
10010521,18677185,RARE METALS,11.0,Q1
21686068,21686084,JAMA Dermatology,11.0,Q1
19490976,19490984,Gut Microbes,11.0,Q1
21624968,21624968,Current Obesity Reports,11.0,Q1
19368623,19368631,Journal of Hospitality Marketing & Management,11.0,Q1
09518320,18790836,RELIABILITY ENGINEERING & SYSTEM SAFETY,11.0,Q1
21965404,21965404,Nano Convergence,11.0,Q1
03062619,18729118,APPLIED ENERGY,11.0,Q1
09680004,13624326,TRENDS IN BIOCHEMICAL SCIENCES,11.0,Q1
00983063,15584127,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,10.9,Q1
09213449,18790658,RESOURCES CONSERVATION AND RECYCLING,10.9,Q1
17480132,1878044X,Nano Today,10.9,Q1
01968904,18792227,ENERGY CONVERSION AND MANAGEMENT,10.9,Q1
01664972,18792383,TECHNOVATION,10.9,Q1
23265191,23265205,Arthritis & Rheumatology,10.9,Q1
13889842,18790844,EUROPEAN JOURNAL OF HEART FAILURE,10.8,Q1
20831277,23531827,Oeconomia Copernicana,10.8,Q1
23523964,23523964,EBioMedicine,10.8,Q1
14608545,14682370,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,10.8,Q1
23746149,23746149,Advances in Physics-X,10.8,Q1
